title	url	rating	metascore	votes	runtime
Avengers: Infinity War	https://www.imdb.com//title/tt4154756/?ref_=adv_li	8.5	68	556607	149
Black Panther	https://www.imdb.com//title/tt1825683/?ref_=adv_li	7.4	88	435846	134
Deadpool 2	https://www.imdb.com//title/tt5463162/?ref_=adv_li	7.8	66	327083	119
Ready Player One	https://www.imdb.com//title/tt1677720/?ref_=adv_li	7.5	64	259630	140
A Quiet Place	https://www.imdb.com//title/tt6644200/?ref_=adv_li	7.6	82	249406	90
Mission: Impossible - Fallout	https://www.imdb.com//title/tt4912910/?ref_=adv_li	7.9	86	198276	147
Venom	https://www.imdb.com//title/tt1270797/?ref_=adv_li	6.8	35	197816	112
Annihilation	https://www.imdb.com//title/tt2798920/?ref_=adv_li	6.9	79	194795	115
Jurassic World: Fallen Kingdom	https://www.imdb.com//title/tt4881806/?ref_=adv_li	6.2	51	187521	128
Solo: A Star Wars Story	https://www.imdb.com//title/tt3778644/?ref_=adv_li	7.0	62	187191	135
Ant-Man and the Wasp	https://www.imdb.com//title/tt5095030/?ref_=adv_li	7.2	70	175967	118
Bohemian Rhapsody	https://www.imdb.com//title/tt1727824/?ref_=adv_li	8.3	49	169065	134
Incredibles 2	https://www.imdb.com//title/tt3606756/?ref_=adv_li	7.8	80	159121	118
Tomb Raider	https://www.imdb.com//title/tt1365519/?ref_=adv_li	6.3	48	147098	119
Game Night	https://www.imdb.com//title/tt2704998/?ref_=adv_li	7.0	66	138645	100
A Star Is Born	https://www.imdb.com//title/tt1517451/?ref_=adv_li	8.1	88	125848	136
Red Sparrow	https://www.imdb.com//title/tt2873282/?ref_=adv_li	6.6	53	119504	140
Hereditary	https://www.imdb.com//title/tt7784604/?ref_=adv_li	7.3	87	117376	127
Ocean's Eight	https://www.imdb.com//title/tt5164214/?ref_=adv_li	6.2	61	115541	110
Fantastic Beasts: The Crimes of Grindelwald	https://www.imdb.com//title/tt4123430/?ref_=adv_li	6.8	52	101976	134
Аквамен	https://www.imdb.com//title/tt1477834/?ref_=adv_li	7.5	55	101289	143
Bird Box	https://www.imdb.com//title/tt2737304/?ref_=adv_li	6.8	52	100102	124
Rampage	https://www.imdb.com//title/tt2231461/?ref_=adv_li	6.1	45	99624	107
The Meg	https://www.imdb.com//title/tt4779682/?ref_=adv_li	5.7	46	88725	113
Isle of Dogs	https://www.imdb.com//title/tt5104604/?ref_=adv_li	7.9	82	87168	101
Maze Runner: The Death Cure	https://www.imdb.com//title/tt4500922/?ref_=adv_li	6.3	51	81807	143
Pacific Rim: Uprising	https://www.imdb.com//title/tt2557478/?ref_=adv_li	5.6	44	80292	111
Апгрейд	https://www.imdb.com//title/tt6499752/?ref_=adv_li	7.6	67	77662	100
The Cloverfield Paradox	https://www.imdb.com//title/tt2548396/?ref_=adv_li	5.6	37	76384	102
Sicario: Day of the Soldado	https://www.imdb.com//title/tt5052474/?ref_=adv_li	7.1	61	76122	122
BlacKkKlansman	https://www.imdb.com//title/tt7349662/?ref_=adv_li	7.6	83	75361	135
The Equalizer 2	https://www.imdb.com//title/tt3766354/?ref_=adv_li	6.8	50	73048	121
The Commuter	https://www.imdb.com//title/tt1590193/?ref_=adv_li	6.3	56	72367	105
The Predator	https://www.imdb.com//title/tt3829266/?ref_=adv_li	5.5	48	72022	107
The Nun	https://www.imdb.com//title/tt5814060/?ref_=adv_li	5.5	46	71426	96
First Man	https://www.imdb.com//title/tt1213641/?ref_=adv_li	7.5	84	70996	141
Love, Simon	https://www.imdb.com//title/tt5164432/?ref_=adv_li	7.7	72	70890	110
Skyscraper	https://www.imdb.com//title/tt5758778/?ref_=adv_li	5.9	51	65557	102
Tag	https://www.imdb.com//title/tt2854926/?ref_=adv_li	6.6	56	64580	100
Crazy Rich Asians	https://www.imdb.com//title/tt3104988/?ref_=adv_li	7.1	74	64362	120
Searching	https://www.imdb.com//title/tt7668870/?ref_=adv_li	7.7	71	63033	102
Halloween	https://www.imdb.com//title/tt1502407/?ref_=adv_li	6.8	67	62917	106
Den of Thieves	https://www.imdb.com//title/tt1259528/?ref_=adv_li	7.0	49	60251	140
Spider-Man: Into the Spider-Verse	https://www.imdb.com//title/tt4633694/?ref_=adv_li	8.7	87	60022	117
The Ballad of Buster Scruggs	https://www.imdb.com//title/tt6412452/?ref_=adv_li	7.4	79	52274	133
A Simple Favor	https://www.imdb.com//title/tt7040874/?ref_=adv_li	7.0	67	51106	117
To All the Boys I've Loved Before	https://www.imdb.com//title/tt3846674/?ref_=adv_li	7.3	64	49337	99
Mamma Mia! Here We Go Again	https://www.imdb.com//title/tt6911608/?ref_=adv_li	6.9	60	48788	114
Blockers	https://www.imdb.com//title/tt2531344/?ref_=adv_li	6.2	69	48206	102
12 Strong	https://www.imdb.com//title/tt1413492/?ref_=adv_li	6.6	54	43571	130
Bad Times at the El Royale	https://www.imdb.com//title/tt6628394/?ref_=adv_li	7.2	60	42081	141
Death Wish	https://www.imdb.com//title/tt1137450/?ref_=adv_li	6.4	31	42021	107
Fifty Shades Freed	https://www.imdb.com//title/tt4477536/?ref_=adv_li	4.5	31	39124	105
